Name,Straße,PLZ/Stadt,Sterne,Bewertungen
Mensa Adolf-Reichwein-Straße ,Adolf-Reichwein-Straße 2,57076 Siegen,"3,8",13.156
Cafeteria Unteres Schloss ,Obergraben 18,57072 Siegen,"4,0",537
Cafeteria Paul-Bonatz-Straße ,Paul-Bonatz-Straße 9-11,57076 Siegen,"3,4",793
Cafeteria ct ,Adolf-Reichwein-Straße 2,57076 Siegen,"3,3",43
Bistro ,Adolf-Reichwein-Straße 2,57076 Siegen,"3,7",198
Bistro4u NFF ,Hermann-Blenk-Straße 42,38108 Braunschweig,"3,8",419
360 Grad ,Katharinenstraße 1,38106 Braunschweig,"3,6",1.770
Kantina Kreativa ,Johannes-Selenka-Platz 1,38118 Braunschweig,"3,2",292
Bistro HAWK ,Von-Ossietzky-Straße 99,37085 Göttingen,"3,3",336
Hauptmensa ,Callinstraße 23,30167 Hannover,"3,7",15.594
Contine ,Königsworther Platz 1,30167 Hannover,"3,6",14.742
Mensa TiHo-Tower ,Bünteweg 2,30559 Hannover,"3,6",965
Mensa Caballus ,Bischofsholer Damm 15,30173 Hannover,"3,7",1.409
Mensa Große Pause ,Expo Plaza 10,30539 Hannover,"3,4",1.441
Mensa Campus Linden ,Ricklinger Stadtweg 120,30459 Hannover,"3,6",4.948
Mensa Blumhardtstraße ,Blumhardtstraße 2,30625 Hannover,"3,9",742
Mensa HMTMH ,Emmichplatz 1,30175 Hannover,"3,2",188
Bistro-Shop Lübecker Straße ,Lübecker Straße 3,31141 Hildesheim,"3,4",351
Mensa Hohnsen ,Hohnsen 1,31134 Hildesheim,"3,6",2.487
Mensa Ofener Straße ,Ofener Straße 16a,26121 Oldenburg,"3,3",4.834
Mensa Westerberg ,Barbarastraße 20,49076 Osnabrück,"3,7",17.397
Mensa Haste ,Oldenburger Landstraße 24,49090 Osnabrück,"3,7",533
Café Lounge Westerberg ,Barbarastraße 20,49076 Osnabrück,"3,2",300
Bistro Caprivi ,Caprivistraße 30a,49076 Osnabrück,"3,4",266
Mensa ZM2 ,Zukunftsmeile 2,33102 Paderborn,"3,6",173
Mensa Bispinghof ,Bispinghof 9-14,48155 Münster,"3,7",4.418
Mensa am Ring ,Domagkstraße 61,48149 Münster,"3,6",28.364
Mensa am Aasee ,Bismarckallee 11,48151 Münster,"3,6",11.517
Hier und Jetzt ,Bismarckallee 11,48151 Münster,"4,0",577
Bistro Oeconomicum ,Universitätsstraße 14,48143 Münster,"3,4",1.046
Bistro KaBu ,Domplatz 21,48143 Münster,"3,4",627
Bistro Durchblick ,Fliednerstraße 21,48149 Münster,"3,4",156
Bistro Katholische Hochschule ,Piusallee 89,48147 Münster,"3,2",430
Mensa Obergath ,Obergath 73,47805 Krefeld,"2,9",113
UniMensa ,Zülpicher Straße 70,50937 Köln,"3,4",5.962
Mensa Lindenthal ,Robert-Koch-Straße 10,50931 Köln,"3,6",1.803
Bistro Uni E-Raum ,Albertus-Magnus-Platz,50931 Köln,"3,3",135
Mensa Südstadt ,Mainzer Straße 5,50678 Köln,"3,3",997
Mensa IWZ Deutz ,Betzdorfer Straße 2,50679 Köln,"3,4",3.017
